problemUrl,topic,subTopic,striver_video,neetcode_video
https://leetcode.com/problems/find-the-highest-altitude/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=find+the+highest+altitude+leetcode+striver,https://www.youtube.com/results?search_query=find+the+highest+altitude+leetcode+neetcode
https://leetcode.com/problems/running-sum-of-1d-array/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=running+sum+of+1d+array+leetcode+striver,https://www.youtube.com/results?search_query=running+sum+of+1d+array+leetcode+neetcode
https://leetcode.com/problems/richest-customer-wealth/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=richest+customer+wealth+leetcode+striver,https://www.youtube.com/results?search_query=richest+customer+wealth+leetcode+neetcode
https://leetcode.com/problems/shuffle-the-array/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=shuffle+the+array+leetcode+striver,https://www.youtube.com/results?search_query=shuffle+the+array+leetcode+neetcode
https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=kids+with+the+greatest+number+of+candies+leetcode+striver,https://www.youtube.com/results?search_query=kids+with+the+greatest+number+of+candies+leetcode+neetcode
https://leetcode.com/problems/number-of-good-pairs/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=number+of+good+pairs+leetcode+striver,https://www.youtube.com/results?search_query=number+of+good+pairs+leetcode+neetcode
https://leetcode.com/problems/count-items-matching-a-rule/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=count+items+matching+a+rule+leetcode+striver,https://www.youtube.com/results?search_query=count+items+matching+a+rule+leetcode+neetcode
https://leetcode.com/problems/find-the-duplicate-number/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=find+the+duplicate+number+leetcode+striver,https://www.youtube.com/results?search_query=find+the+duplicate+number+leetcode+neetcode
https://leetcode.com/problems/set-matrix-zeroes/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=set+matrix+zeroes+leetcode+striver,https://www.youtube.com/results?search_query=set+matrix+zeroes+leetcode+neetcode
https://leetcode.com/problems/rotate-array/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=rotate+array+leetcode+striver,https://www.youtube.com/results?search_query=rotate+array+leetcode+neetcode
https://leetcode.com/problems/first-missing-positive/,Arrays,Basic Array Operations,https://www.youtube.com/results?search_query=first+missing+positive+leetcode+striver,https://www.youtube.com/results?search_query=first+missing+positive+leetcode+neetcode
https://leetcode.com/problems/two-sum/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=two+sum+leetcode+striver,https://www.youtube.com/results?search_query=two+sum+leetcode+neetcode
https://leetcode.com/problems/merge-sorted-array/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=merge+sorted+array+leetcode+striver,https://www.youtube.com/results?search_query=merge+sorted+array+leetcode+neetcode
https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=remove+duplicates+from+sorted+array+leetcode+striver,https://www.youtube.com/results?search_query=remove+duplicates+from+sorted+array+leetcode+neetcode
https://leetcode.com/problems/move-zeroes/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=move+zeroes+leetcode+striver,https://www.youtube.com/results?search_query=move+zeroes+leetcode+neetcode
https://leetcode.com/problems/squares-of-a-sorted-array/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=squares+of+a+sorted+array+leetcode+striver,https://www.youtube.com/results?search_query=squares+of+a+sorted+array+leetcode+neetcode
https://leetcode.com/problems/valid-palindrome/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=valid+palindrome+leetcode+striver,https://www.youtube.com/results?search_query=valid+palindrome+leetcode+neetcode
https://leetcode.com/problems/reverse-string/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=reverse+string+leetcode+striver,https://www.youtube.com/results?search_query=reverse+string+leetcode+neetcode
https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Arrays,Two Pointers,https://www.youtube.com/results?search_query=two+sum+ii+input+array+is+sorted+leetcode+striver,https://www.youtube.com/results?search_query=two+sum+ii+input+array+is+sorted+leetcode+neetcode
